# ---
# domain: UConstRange
# op: CountRZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 12]
# - [16, 20]
# - [32, 166]
# - [64, 146]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
64	[1, 9223372036854775808]	[0, 63]	1620
64	[0, 18446744073709551614]	[0, 63]	780
64	[1, 8]	[0, 3]	676
64	[0, 9007199254740991]	[0, 52]	439
64	[1, 4294967295]	[0, 31]	376
64	[1, 1]	[0, 0]	237
64	[0, 1844674407370955161]	[0, 60]	234
64	[0, 18446744073709551]	[0, 54]	234
64	[2, 18014398509481982]	[0, 53]	234
64	[2, 18446744073709551615]	[0, 63]	173
64	[4503599627370496, 9007199254740991]	[0, 52]	171
64	[1125899906842624, 2251799813685247]	[0, 50]	88
64	[9007199254740992, 18014398509481982]	[0, 53]	78
64	[0, 4294967295]	[0, 31]	64
64	[0, 65535]	[0, 15]	48
64	[1, 255]	[0, 7]	38
64	[1, 9259542123273814144]	[0, 63]	38
64	[18446744069414584320, 18446744073709551615]	[0, 32]	38
64	[0, 255]	[0, 7]	26
64	[0, 18446744071562067967]	[0, 63]	26
64	[3689348814741897216, 3689348814741962751]	[0, 16]	21
64	[1, 72057594037927935]	[0, 55]	21
64	[0, 9259542123273814144]	[0, 63]	20
64	[1, 71775015237778944]	[0, 55]	18
64	[1, 35887507618889472]	[0, 54]	18
64	[0, 35887507618889472]	[0, 54]	18
64	[0, 71775015237778944]	[0, 55]	18
64	[1, 72057594037927680]	[0, 55]	18
64	[0, 72057594037927680]	[0, 55]	18
64	[1, 131072]	[0, 17]	17
64	[3689348814741910272, 3689348814741910527]	[0, 8]	16
64	[1, 65535]	[0, 15]	15
64	[3689348813882916864, 3689348818177884159]	[0, 32]	15
64	[3689348814738554880, 3689348814755332095]	[0, 24]	15
64	[1, 4]	[0, 2]	14
64	[0, 72057594037927935]	[0, 55]	14
64	[1, 254]	[0, 7]	14
64	[1, 16777215]	[0, 23]	13
64	[8, 18446744073709551615]	[0, 63]	12
64	[1, 18374686479671623680]	[0, 63]	12
64	[0, 18374686479671623680]	[0, 63]	12
64	[1, 4278190080]	[0, 31]	12
64	[0, 4278190080]	[0, 31]	12
64	[1, 1095216660480]	[0, 39]	12
64	[0, 1095216660480]	[0, 39]	12
64	[1, 2305843009213693951]	[0, 60]	12
64	[9223372036854775808, 18446744073709551615]	[0, 63]	12
64	[16, 18446744073709551615]	[0, 63]	10
64	[0, 72340172838076673]	[0, 56]	10
64	[1, 18446744073709551104]	[0, 63]	9
64	[1, 9151314442816847872]	[0, 62]	9
64	[1, 18374967954648334335]	[0, 63]	9
64	[0, 18374967954648334335]	[0, 63]	9
64	[0, 9151314442816847872]	[0, 62]	9
64	[0, 18446744073709551104]	[0, 63]	9
64	[1, 127]	[0, 6]	9
64	[1, 18446744073709486335]	[0, 63]	9
64	[0, 18446744073709486335]	[0, 63]	9
64	[0, 254]	[0, 7]	9
64	[0, 127]	[0, 6]	9
64	[1024, 1073741824]	[0, 30]	8
64	[4, 18446744073709551615]	[0, 63]	8
64	[0, 2305843009213693951]	[0, 60]	8
64	[0, 9223372036854775808]	[0, 63]	7
64	[1, 2305843009213693952]	[0, 61]	7
