# ---
# domain: UConstRange
# op: CountLZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 2]
# - [16, 9]
# - [32, 227]
# - [64, 311]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
64	[0, 18446744073709551615]	[0, 63]	15247
64	[8, 2635249153387078800]	[2, 60]	6063
64	[1, 2635249153387078800]	[2, 63]	4813
64	[0, 18446744073709551614]	[0, 63]	3186
64	[1, 18446744073709551614]	[0, 63]	2574
64	[32, 4294967327]	[31, 58]	1528
64	[1, 9223372036854775807]	[1, 63]	1214
64	[1, 1537228672809129301]	[3, 63]	1150
64	[2, 18446744073709551615]	[0, 62]	1141
64	[0, 4503599627370495]	[12, 63]	1106
64	[16, 2635249153387078800]	[2, 59]	1033
64	[32, 18446744073709551615]	[0, 58]	725
64	[8193, 16140901064495857663]	[0, 50]	657
64	[1, 9223372036854775809]	[0, 63]	600
64	[1, 1844674407370955161]	[3, 63]	597
64	[0, 4294967295]	[32, 63]	567
64	[17, 18446744073709551613]	[0, 59]	534
64	[32, 4194335]	[41, 58]	519
64	[0, 9007199254740991]	[11, 63]	441
64	[1, 11]	[60, 63]	409
64	[1, 2635249153387078801]	[2, 63]	385
64	[20, 18446744073709551614]	[0, 59]	336
64	[1, 133]	[56, 63]	321
64	[1, 4294967295]	[32, 63]	295
64	[32769, 16140901064495857663]	[0, 48]	204
64	[1, 1]	[63, 63]	202
64	[8193, 36861]	[48, 50]	153
64	[1, 8070450532247928832]	[1, 63]	152
64	[16, 18446744073709551615]	[0, 59]	152
64	[1, 9007199254740991]	[11, 63]	145
64	[1, 3]	[62, 63]	137
64	[2, 8]	[60, 62]	132
64	[0, 2635249153387078800]	[2, 63]	115
64	[1, 211]	[56, 63]	72
64	[2, 18446744073709551614]	[0, 62]	64
64	[0, 255]	[56, 63]	64
64	[1, 18446744073709551613]	[0, 63]	56
64	[8, 18446744073709551614]	[0, 60]	52
64	[8193, 28797]	[49, 50]	48
64	[21, 18446744073709551615]	[0, 59]	48
64	[17, 8191]	[51, 59]	48
64	[63, 68719476734]	[28, 58]	48
64	[1, 4503599627370495]	[12, 63]	45
64	[2, 4294967295]	[32, 62]	44
64	[1, 73]	[57, 63]	44
64	[8, 4294967294]	[32, 60]	43
64	[4, 18446744073709551614]	[0, 61]	40
64	[1, 49]	[58, 63]	40
64	[1, 63]	[58, 63]	40
64	[2, 9223372036854775807]	[1, 62]	39
64	[3, 18446744073709551613]	[0, 62]	38
64	[1, 7]	[61, 63]	37
64	[1, 9007199254740992]	[10, 63]	36
64	[1, 16140901064495857663]	[0, 63]	34
64	[0, 2305843009213693951]	[3, 63]	33
64	[1, 4503599627370496]	[11, 63]	33
64	[32767, 16140901064495857663]	[0, 49]	30
64	[2, 9223372036854775808]	[0, 62]	30
64	[0, 34359738360]	[29, 63]	29
64	[1, 9223372036854775808]	[0, 63]	28
64	[1, 2]	[62, 63]	28
64	[0, 1152921504606846975]	[4, 63]	27
64	[0, 8070450532247928831]	[1, 63]	27
64	[4294967296, 18446744073709551615]	[0, 31]	27
64	[16, 8589934596]	[30, 59]	27
64	[65, 2147483647]	[33, 57]	27
64	[1, 255]	[56, 63]	26
64	[7, 18446744073709551615]	[0, 61]	26
64	[28673, 16140901064495857663]	[0, 49]	24
64	[8193, 28671]	[49, 50]	24
64	[0, 9223372036854775807]	[1, 63]	23
64	[1, 95]	[57, 63]	21
64	[8193, 18446744073709551613]	[0, 50]	20
64	[1, 256]	[55, 63]	20
64	[1, 499]	[55, 63]	19
64	[1, 4611686018427387903]	[2, 63]	19
64	[0, 1]	[63, 63]	18
64	[1, 4294967294]	[32, 63]	18
64	[32, 9223372036854775838]	[0, 58]	18
64	[1, 59]	[58, 63]	18
64	[0, 4503599627370496]	[11, 63]	18
64	[1, 9223372036854775829]	[0, 63]	17
64	[16, 17179869184]	[29, 59]	17
64	[8, 16383]	[50, 60]	16
64	[1, 13]	[60, 63]	16
64	[4, 9223372036854775805]	[1, 61]	15
64	[2, 1056844712556276392]	[4, 62]	15
64	[3, 18446744073709551615]	[0, 62]	15
64	[0, 9223372036854775806]	[1, 63]	15
64	[3, 65522]	[48, 62]	14
64	[0, 4294967287]	[32, 63]	14
64	[1, 105]	[57, 63]	14
64	[1, 8]	[60, 63]	13
64	[64, 2305843009213693951]	[3, 57]	13
64	[8, 8]	[60, 60]	12
