# ---
# domain: KnownBits
# op: mlir/Operations/CountLZeroUndef.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 1]
# - [16, 3]
# - [32, 63]
# - [64, 77]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
64	????????????????????????????????????????????????????000000000000	0000000000000000000000000000000000000000000000000000000000??????	42
64	00000000000000000000000000000000000000000000000000000???????????	000000000000000000000000000000000000000000000000000000000011????	40
64	00000000000000000000000000000000000?????????????????????????????	00000000000000000000000000000000000000000000000000000000001?????	37
64	0000000000000000000000000000????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	37
64	0000000000??????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	32
64	0000000?????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	29
64	000000000000000000000000000000000????????????????????????????000	00000000000000000000000000000000000000000000000000000000001?????	28
64	??????????????????????????????????????10000000000000000000000000	0000000000000000000000000000000000000000000000000000000000??????	27
64	0000000000000000000000000000000000?????????????????????????????1	00000000000000000000000000000000000000000000000000000000001?????	24
64	0000000000000000000000000000000000000000000000000000000000?????1	0000000000000000000000000000000000000000000000000000000000111???	18
64	000000000000000000000000000000000000000000000000000000?????????1	000000000000000000000000000000000000000000000000000000000011????	15
64	00000000000000000000000000000000000000000000000000??????????????	000000000000000000000000000000000000000000000000000000000011????	10
64	000000000000000000000000000000000000000000000000000000???????001	000000000000000000000000000000000000000000000000000000000011????	9
64	00000000000000000000000000000000000000000000???????????????????1	00000000000000000000000000000000000000000000000000000000001?????	9
64	000000000000000000000000000000?????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	9
64	00000000000000000000???????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	9
64	0000???????????????????????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	9
64	000000000000000000000000000000000000000000000000000?????????????	000000000000000000000000000000000000000000000000000000000011????	8
64	000000000000000000000000000000000?????????????????1?111111111111	00000000000000000000000000000000000000000000000000000000001?????	7
64	000000000000000000000000000000000000000000000000000000000000000?	0000000000000000000000000000000000000000000000000000000000111111	6
64	0000000000000000000000000000000000000000000000000000000??????001	000000000000000000000000000000000000000000000000000000000011????	6
64	0000000000000000000000000000000000000000000????????????????????1	00000000000000000000000000000000000000000000000000000000001?????	6
64	000000000000000000000000000000000000000000000000000000000000???0	00000000000000000000000000000000000000000000000000000000001111??	4
64	00000000000000000000000000000000000000000000000000000????????001	000000000000000000000000000000000000000000000000000000000011????	4
64	00000000000000000000000000000000000????????????????????????????1	00000000000000000000000000000000000000000000000000000000001?????	4
64	000000000000000000000000000000000??????????????????????????????1	00000000000000000000000000000000000000000000000000000000001?????	4
64	0????????????????????????????????????????????????????????????111	0000000000000000000000000000000000000000000000000000000000??????	4
64	00000000000000000000000000000000000000000000000000000000?????001	0000000000000000000000000000000000000000000000000000000000111???	2
64	0000000000000000000000000000000000000000000000000000?????????001	000000000000000000000000000000000000000000000000000000000011????	2
128	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000???????	784
128	???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000???????	189
