# ---
# domain: KnownBits
# op: mlir/Operations/PopCount.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 3]
# - [12, 1]
# - [16, 10]
# - [24, 1]
# - [28, 1]
# - [32, 66]
# - [36, 1]
# - [40, 1]
# - [64, 61]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
64	00?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?000	00000000000000000000000000000000000000000000000000000000000?????	6
64	0?????????????????????????????????????????????????????????????00	0000000000000000000000000000000000000000000000000000000000??????	6
64	?????????????????????????????????????????????????????11111111111	000000000000000000000000000000000000000000000000000000000???????	6
64	000000000000000000000000000000000000000000??????????????????????	00000000000000000000000000000000000000000000000000000000000?????	5
64	00????????????????????????????????????????????????????????????00	0000000000000000000000000000000000000000000000000000000000??????	5
64	?????????????????????????????????????????????????????00000000000	0000000000000000000000000000000000000000000000000000000000??????	5
64	??????????????????????????????????????????????????????????000???	0000000000000000000000000000000000000000000000000000000000??????	5
64	0000000000000000000000000000000000000000000000000000000000??????	0000000000000000000000000000000000000000000000000000000000000???	4
64	000000000000000000000000000000000000000000000000000?????????????	000000000000000000000000000000000000000000000000000000000000????	4
64	???????????????????????????????1???????????????????????????????1	000000000000000000000000000000000000000000000000000000000???????	4
64	0???????????????????????????????????????????????????????????0000	0000000000000000000000000000000000000000000000000000000000??????	3
64	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	2
64	0000000000000000000000000000000000000000000000000000000?????????	000000000000000000000000000000000000000000000000000000000000????	2
64	000000000000000000000000000000000???????????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	2
64	0000000000???????????????????????????????????????????????0000000	0000000000000000000000000000000000000000000000000000000000??????	2
64	???????????????????????????????000000000000000000000000000000000	00000000000000000000000000000000000000000000000000000000000?????	2
128	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	159
