# ---
# domain: SConstRange
# op: CountLZero
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 3]
# - [16, 7]
# - [32, 56]
# - [64, 448]
# - [128, 3]
# hbw: []
# ---
bw	arg_0	ideal	count
64	[1417, 1417]	[53, 53]	4
64	[1665, 1665]	[53, 53]	4
64	[1409, 1409]	[53, 53]	4
64	[1401, 1401]	[53, 53]	4
64	[1393, 1393]	[53, 53]	4
64	[1385, 1385]	[53, 53]	4
64	[1377, 1377]	[53, 53]	4
64	[1369, 1369]	[53, 53]	4
64	[1361, 1361]	[53, 53]	4
64	[1537, 1537]	[53, 53]	4
64	[1529, 1529]	[53, 53]	4
64	[1521, 1521]	[53, 53]	4
64	[1513, 1513]	[53, 53]	4
64	[1849, 1849]	[53, 53]	4
64	[1841, 1841]	[53, 53]	4
64	[1313, 1313]	[53, 53]	4
64	[1305, 1305]	[53, 53]	4
64	[1297, 1297]	[53, 53]	4
64	[1257, 1257]	[53, 53]	4
64	[1249, 1249]	[53, 53]	4
64	[1241, 1241]	[53, 53]	4
64	[1233, 1233]	[53, 53]	4
64	[1225, 1225]	[53, 53]	4
64	[1217, 1217]	[53, 53]	4
64	[1209, 1209]	[53, 53]	4
64	[1201, 1201]	[53, 53]	4
64	[1193, 1193]	[53, 53]	4
64	[1185, 1185]	[53, 53]	4
64	[1177, 1177]	[53, 53]	4
64	[1153, 1153]	[53, 53]	4
64	[1145, 1145]	[53, 53]	4
64	[1137, 1137]	[53, 53]	4
64	[1129, 1129]	[53, 53]	4
64	[1121, 1121]	[53, 53]	4
64	[1113, 1113]	[53, 53]	4
64	[1105, 1105]	[53, 53]	4
64	[1097, 1097]	[53, 53]	4
64	[1089, 1089]	[53, 53]	4
64	[1081, 1081]	[53, 53]	4
64	[1073, 1073]	[53, 53]	4
64	[1065, 1065]	[53, 53]	4
64	[1057, 1057]	[53, 53]	4
64	[1049, 1049]	[53, 53]	4
64	[1041, 1041]	[53, 53]	4
64	[1033, 1033]	[53, 53]	4
64	[1025, 1025]	[53, 53]	4
64	[1017, 1017]	[54, 54]	4
64	[1009, 1009]	[54, 54]	4
64	[1657, 1657]	[53, 53]	4
64	[1001, 1001]	[54, 54]	4
64	[993, 993]	[54, 54]	4
64	[985, 985]	[54, 54]	4
64	[977, 977]	[54, 54]	4
64	[969, 969]	[54, 54]	4
64	[961, 961]	[54, 54]	4
64	[953, 953]	[54, 54]	4
64	[945, 945]	[54, 54]	4
64	[937, 937]	[54, 54]	4
64	[929, 929]	[54, 54]	4
64	[921, 921]	[54, 54]	4
64	[913, 913]	[54, 54]	4
64	[905, 905]	[54, 54]	4
64	[897, 897]	[54, 54]	4
64	[889, 889]	[54, 54]	4
64	[881, 881]	[54, 54]	4
64	[873, 873]	[54, 54]	4
64	[865, 865]	[54, 54]	4
64	[857, 857]	[54, 54]	4
64	[849, 849]	[54, 54]	4
64	[841, 841]	[54, 54]	4
64	[1921, 1921]	[53, 53]	4
64	[1913, 1913]	[53, 53]	4
64	[833, 833]	[54, 54]	4
64	[1873, 1873]	[53, 53]	4
64	[825, 825]	[54, 54]	4
64	[817, 817]	[54, 54]	4
64	[809, 809]	[54, 54]	4
64	[801, 801]	[54, 54]	4
64	[793, 793]	[54, 54]	4
64	[785, 785]	[54, 54]	4
64	[777, 777]	[54, 54]	4
64	[769, 769]	[54, 54]	4
64	[761, 761]	[54, 54]	4
64	[753, 753]	[54, 54]	4
64	[745, 745]	[54, 54]	4
64	[737, 737]	[54, 54]	4
64	[729, 729]	[54, 54]	4
64	[721, 721]	[54, 54]	4
64	[713, 713]	[54, 54]	4
64	[689, 689]	[54, 54]	4
64	[681, 681]	[54, 54]	4
64	[673, 673]	[54, 54]	4
64	[665, 665]	[54, 54]	4
64	[657, 657]	[54, 54]	4
64	[649, 649]	[54, 54]	4
64	[641, 641]	[54, 54]	4
64	[625, 625]	[54, 54]	4
64	[609, 609]	[54, 54]	4
64	[601, 601]	[54, 54]	4
64	[593, 593]	[54, 54]	4
64	[585, 585]	[54, 54]	4
64	[577, 577]	[54, 54]	4
64	[569, 569]	[54, 54]	4
64	[561, 561]	[54, 54]	4
64	[553, 553]	[54, 54]	4
64	[545, 545]	[54, 54]	4
64	[537, 537]	[54, 54]	4
64	[529, 529]	[54, 54]	4
64	[521, 521]	[54, 54]	4
64	[513, 513]	[54, 54]	4
64	[505, 505]	[55, 55]	4
64	[497, 497]	[55, 55]	4
64	[489, 489]	[55, 55]	4
64	[481, 481]	[55, 55]	4
64	[473, 473]	[55, 55]	4
64	[465, 465]	[55, 55]	4
64	[457, 457]	[55, 55]	4
64	[449, 449]	[55, 55]	4
